name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Free and Almost Free in Pittsburgh,1756412,Pittsburgh,40.47,-79.95,Socializing,2010-12-30 23:15:54,active,17740,open,9864,2018-01-22 19:00:00,1
The Pittsburgh Hiking Meetup Group,513500,Pittsburgh,40.45,-79.99,Outdoors & Adventure,2007-05-29 06:48:49,active,6873,approval,3925,2018-01-23 06:15:00,3
Pittsburgh Singles Over-50 Meetup,21721579,Pittsburgh,40.45,-79.99,Socializing,2016-12-30 22:38:58,active,547,approval,74,2018-01-17 17:45:00,25
The Pittsburgh Cultural Arts Meetup Group,1318900,Pittsburgh,40.44,-79.95,Arts & Culture,2008-11-10 20:40:33,active,6245,open,1237,2018-01-21 16:25:00,4
The Pittsburgh Social Club!,1773927,Pittsburgh,40.47,-79.92,Socializing,2011-01-27 19:15:11,active,5304,open,3595,2018-01-22 19:00:00,6
Saturday Singles - Pittsburgh,6009942,Pittsburgh,40.52,-80.04,Dancing,2012-11-26 20:33:09,active,4752,open,114,2018-01-20 19:30:00,114
Pittsburgh Startup Founder 101,19108111,Pittsburgh,40.47,-79.95,Career & Business,2015-11-10 07:17:56,active,1373,open,16,2018-01-10 18:00:00,57
Blockchain Developers and Enthusiasts United,26421901,Pittsburgh,40.47,-79.95,Tech,2017-10-28 19:35:41,active,213,open,6,2018-01-18 18:30:00,67
Pittsburgh Adventure Lovers (PAL) club,1506894,Pittsburgh,40.47,-79.95,Outdoors & Adventure,2009-08-15 08:20:16,active,4993,approval,1953,2018-01-21 13:00:00,4
WordPress Pittsburgh,16222262,Pittsburgh,40.45,-79.98,Tech,2014-08-06 08:00:37,active,819,open,57,2018-01-09 07:30:00,17
Steel City Ukuleles,6060022,Pittsburgh,40.43,-79.95,Music,2012-11-30 13:28:37,active,456,open,519,2018-01-18 19:00:00,9
Pittsburgh Inclusive Innovation Meetup,24458065,Pittsburgh,40.47,-79.95,Career & Business,2017-06-14 08:25:20,active,659,open,11,2018-01-17 08:30:00,18
Western PA Gaming,12338002,Bridgeville,40.36,-80.11,Games,2014-01-21 12:35:19,active,1774,open,324,2018-01-19 18:00:00,30
Progressive Singles of Pittsburgh,23353230,Pittsburgh,40.47,-79.95,Singles,2017-04-20 10:39:06,active,1058,open,56,2018-01-21 11:30:00,9
Pittsburgh Craft Beer Meetup,20920676,Glenshaw,40.52,-79.95,Food & Drink,2016-10-26 17:45:16,active,492,approval,85,2018-01-18 19:00:00,13
Pittsburgh Ladies: A 20s & 30s Social Group,8874352,Pittsburgh,40.47,-79.95,Socializing,2013-06-10 18:52:03,active,246,open,1410,2018-01-22 18:00:00,7
The Pittsburgh Spanish Language Meetup Group,145964,Pittsburgh,40.45,-79.98,Language & Ethnic Identity,2002-10-17 19:49:49,active,1861,open,392,2018-01-06 13:00:00,18
Pittsburgh Bitcoin Users,3862312,Pittsburgh,40.45,-79.99,Movements & Politics,2012-05-14 09:46:45,active,734,open,66,2018-01-03 18:30:00,55
Shut Up & Write! Pittsburgh,18801661,Pittsburgh,40.47,-79.95,Writing,2015-08-04 12:23:05,active,753,open,501,2018-01-22 19:30:00,12
Pittsburgh Code & Supply,13452572,Pittsburgh,40.47,-79.92,Tech,2014-03-20 09:40:46,active,3557,open,313,2018-01-05 11:00:00,8
Pathways to Fun for the 40 +,20144171,Coraopolis,40.51,-80.18,Food & Drink,2016-07-04 05:58:09,active,871,approval,334,2018-01-20 14:00:00,11
