name,urlname,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Free and Almost Free in Pittsburgh,pittsburgh-free,Pittsburgh,40.47,-79.95,Socializing,2010-12-30 23:15:54,active,17806,open,9885,2018-01-26 21:00:00,2
The Pittsburgh Hiking Meetup Group,pittsburghhikers,Pittsburgh,40.45,-79.99,Outdoors & Adventure,2007-05-29 06:48:49,active,6880,approval,3929,2018-01-26 17:45:00,10
The Pittsburgh Cultural Arts Meetup Group,Art-lovers,Pittsburgh,40.44,-79.95,Arts & Culture,2008-11-10 20:40:33,active,6253,open,1239,2018-01-26 19:00:00,9
Pittsburgh Singles Over-50 Meetup,Pittsburgh-Singles-Meetup,Pittsburgh,40.45,-79.99,Socializing,2016-12-30 22:38:58,active,553,approval,74,2018-01-17 17:45:00,25
The Pittsburgh Social Club!,Pittsburgh-Social-Club,Pittsburgh,40.47,-79.92,Socializing,2011-01-27 19:15:11,active,5319,open,3607,2018-01-26 21:00:00,2
Saturday Singles - Pittsburgh,SaturdaySingles-Pittsburgh,Pittsburgh,40.52,-80.04,Dancing,2012-11-26 20:33:09,active,4752,open,114,2018-01-20 19:30:00,114
Pittsburgh Adventure Lovers (PAL) club,Pittsburgh-Adventure-Lovers-club,Pittsburgh,40.47,-79.95,Outdoors & Adventure,2009-08-15 08:20:16,active,5004,approval,1956,2018-01-26 17:45:00,2
Pittsburgh Startup Founder 101,Pittsburgh-Startup-Founder-101,Pittsburgh,40.47,-79.95,Career & Business,2015-11-10 07:17:56,active,1384,open,17,2018-01-23 18:00:00,27
Western PA Gaming,Western-PA-Gaming,Bridgeville,40.36,-80.11,Games,2014-01-21 12:35:19,active,1789,open,325,2018-01-26 18:00:00,41
Blockchain Developers and Enthusiasts United,blockchainpgh,Pittsburgh,40.47,-79.95,Tech,2017-10-28 19:35:41,active,215,open,6,2018-01-18 18:30:00,67
Pittsburgh Inclusive Innovation Meetup,Pittsburgh-Innovation-Meetup,Pittsburgh,40.47,-79.95,Career & Business,2017-06-14 08:25:20,active,671,open,12,2018-01-24 17:00:00,53
Progressive Singles of Pittsburgh,Progressive-Singles-of-Pittsburgh,Pittsburgh,40.47,-79.95,Singles,2017-04-20 10:39:06,active,1068,open,57,2018-01-26 18:00:00,41
Steel City Ukuleles,Steel-City-Ukuleles,Pittsburgh,40.43,-79.95,Music,2012-11-30 13:28:37,active,457,open,520,2018-01-24 18:45:00,19
WordPress Pittsburgh,Pittsburgh-WordPress-Developers-Designers,Pittsburgh,40.45,-79.98,Tech,2014-08-06 08:00:37,active,822,open,57,2018-01-09 07:30:00,17
The Pittsburgh Spanish Language Meetup Group,Pittsburgh-Spanish,Pittsburgh,40.45,-79.98,Language & Ethnic Identity,2002-10-17 19:49:49,active,1862,open,392,2018-01-06 13:00:00,18
Pittsburgh Craft Beer Meetup,Pittsburgh-Craft-Beer-Meetup,Glenshaw,40.52,-79.95,Food & Drink,2016-10-26 17:45:16,active,499,approval,87,2018-01-25 19:00:00,9
Pittsburgh Ladies: A 20s & 30s Social Group,PittsburghLadies,Pittsburgh,40.47,-79.95,Socializing,2013-06-10 18:52:03,active,248,open,1410,2018-01-22 18:00:00,7
Pittsburgh Code & Supply,Pittsburgh-Code-Supply,Pittsburgh,40.47,-79.92,Tech,2014-03-20 09:40:46,active,3562,open,314,2018-01-24 19:00:00,26
Shut Up & Write! Pittsburgh,shutupandwritepittsburgh,Pittsburgh,40.47,-79.95,Writing,2015-08-04 12:23:05,active,756,open,503,2018-01-26 18:00:00,8
Girl Develop It Pittsburgh,Girl-Develop-It-Pittsburgh,Pittsburgh,40.45,-79.99,Tech,2012-06-13 20:49:34,active,2058,open,96,2018-01-18 19:00:00,37
Pittsburgh Freethought Community  (PFC),Pittsburgh-Freethought-Community,Pittsburgh,40.45,-79.99,Religion & Beliefs,2006-09-15 14:21:23,active,2013,open,403,2018-01-24 19:00:00,30
Pittsburgh Bitcoin Users,Pittsburgh-Bitcoin-Users,Pittsburgh,40.45,-79.99,Movements & Politics,2012-05-14 09:46:45,active,735,open,66,2018-01-03 18:30:00,55
PGH Data Science,PGH-Data-Science,Pittsburgh,40.47,-79.95,Tech,2017-02-02 15:37:53,active,758,open,9,2018-01-10 16:00:00,72
Shadyside Young Professionals,Shadyside-Young-Professionals,Pittsburgh,40.47,-79.95,Socializing,2017-02-09 18:33:48,active,744,open,6,2017-12-05 18:00:00,31
The Pittsburgh Chick Lit Book Club,Pgh-Chick-Lit-Book-Club,Pittsburgh,40.5,-80.07,Movies & Film,2007-05-21 13:35:22,active,595,approval,645,2018-01-19 19:00:00,9
Pathways to Fun for the 40 +,Pathways-to-Fun-for-the-40,Coraopolis,40.51,-80.18,Food & Drink,2016-07-04 05:58:09,active,869,approval,336,2018-01-26 19:00:00,4
Pittsburgh Catholic Moms,Pittsburgh-Catholic-Moms,Pittsburgh,40.4,-80.04,Parents & Family,2013-06-29 12:34:17,active,190,approval,1209,2018-01-26 10:30:00,1
Carnegie Museum of Natural History Meetup,Carnegie-Museum-of-Natural-History-meetups,Pittsburgh,40.44,-79.95,Education & Learning,2016-04-11 08:51:33,active,1189,approval,76,2018-01-21 10:00:00,20
Tech Happy Hour - Pittsburgh,Tech-Happy-Hour-Pittsburgh,Pittsburgh,40.47,-79.95,Career & Business,2017-01-02 14:19:47,active,1008,open,14,2018-01-03 19:00:00,35
